_id.courseId,_id.sectionId,_id.unitId,total_time
56,1,1,41542959
56,1,2,8698087
56,1,3,2283277
56,1,4,70881998
56,2,1,60087810
56,2,10,202951363
56,2,11,10515260
56,2,12,3264536
56,2,13,584810
56,2,14,669409
56,2,15,17174301
56,2,16,14003292
56,2,17,4013785
56,2,18,3570697
56,2,19,483257
56,2,2,111728072
56,2,20,539485
56,2,3,114888974
56,2,4,9335528
56,2,5,19803752
56,2,6,2170864
56,2,7,10537489
56,2,8,250844863
56,2,9,61884291
56,3,1,147483163
56,3,10,11210355
56,3,11,673763
56,3,12,1279887
56,3,13,13213853
56,3,14,185566
56,3,15,572678
56,3,16,3532021
56,3,17,407932
56,3,18,447878
56,3,19,7893239
56,3,2,1690386
56,3,20,531921
56,3,21,243484
56,3,3,484656
56,3,4,20354963
56,3,5,100671521
56,3,6,767127
56,3,7,88409579
56,3,8,1272701
56,3,9,390693
56,4,1,29949957
56,4,10,32762832
56,4,11,708374
56,4,12,341243
56,4,13,8473606
56,4,14,208962
56,4,15,155414
56,4,2,469846
56,4,3,418661
56,4,4,11561261
56,4,5,313358
56,4,6,471223
56,4,7,15240193
56,4,8,885613
56,4,9,261801
56,5,1,16642089
56,5,2,38315385
57,1,1,270322702
57,1,10,248905099
57,1,11,63265769
57,1,12,99489200
57,1,13,105575576
57,1,14,53990793
57,1,2,325284751
57,1,3,92489972
57,1,4,23119680
57,1,5,194504700
57,1,6,138868109
57,1,7,128090152
57,1,8,271887144
57,1,9,202775861
57,2,1,163938967
57,2,2,8212127
57,2,3,147309241
57,2,4,22973086
57,2,5,62494125
57,2,6,18957591
57,2,7,187932835
57,2,8,15100313
57,3,1,226330657
57,3,2,10153787
57,3,3,4745158
57,3,4,7044973
57,3,5,103413915
57,3,6,19167500
57,3,7,5741185
57,3,8,103893120
57,3,9,52878986
57,4,1,159766918
57,4,10,24261850
57,4,11,12943361
57,4,12,62904116
57,4,13,24943949
57,4,14,43267720
57,4,2,16760125
57,4,3,3862397
57,4,4,39469643
57,4,5,214137430
57,4,6,61013345
57,4,7,26974439
57,4,8,6306057
57,4,9,188008323
57,5,1,80535897
57,5,2,22382447
58,1,1,32757140
58,1,10,12141384
58,1,11,93035700
58,1,2,27963895
58,1,3,7222520
58,1,4,14158082
58,1,5,200740591
58,1,6,9202665
58,1,7,26877988
58,1,8,150744054
58,1,9,16635522
58,2,1,10250646
58,2,2,5221623
58,2,3,587814
58,2,4,7767797
58,3,1,95516538
58,3,10,3367806
58,3,11,8206118
58,3,12,2465775
58,3,13,18736113
58,3,14,11382519
58,3,15,3965198
58,3,16,18004375
58,3,17,23257092
58,3,18,657877
58,3,19,16717053
58,3,2,7317206
58,3,20,17930881
58,3,21,5662725
58,3,22,109009824
58,3,23,3452015
58,3,24,363345
58,3,25,33183110
58,3,26,27764549
58,3,27,3842843
58,3,28,13171129
58,3,29,69627385
58,3,3,19318781
58,3,30,1494934
58,3,31,2334464
58,3,32,25521283
58,3,33,13915218
58,3,34,2448817
58,3,4,20233417
58,3,5,4335354
58,3,6,1169978
58,3,7,9855456
58,3,8,345693
58,3,9,20806896
58,4,1,86969950
58,4,10,15528837
58,4,11,12723921
58,4,12,132795
58,4,13,2822450
58,4,14,261877
58,4,15,1266209
58,4,2,5419195
58,4,3,2489679
58,4,4,21789401
58,4,5,58732536
58,4,6,383580
58,4,7,1175713
58,4,8,13188055
58,4,9,1261685
58,5,1,33463897
58,5,10,3172992
58,5,11,718250
58,5,12,170606256
58,5,2,52169721
58,5,3,2458478
58,5,4,49998082
58,5,5,11266045
58,5,6,181366987
58,5,7,4760638
58,5,8,861155
58,5,9,7900479
58,6,1,3571308
58,6,2,112330871
60,1,1,22743720
60,1,10,505526
60,1,11,657273
60,1,2,64934876
60,1,3,3032135
60,1,4,1694191
60,1,5,8121859
60,1,6,8584753
60,1,7,22023630
60,1,8,465730
60,1,9,2145315
60,2,1,4637996
60,2,10,448177
60,2,2,9355949
60,2,3,1715400
60,2,4,29967330
60,2,5,36061752
